RestaurantName,LocationName,CategoryName,Address,City,State,Zip,Violations,CurrentDemerits,InspectionDemerits
Decatur Drug - Convenience Store,Decatur Drug Restaurant,Concessions,544 S Decatur Blvd,Las Vegas,Nevada,89107-3911,10,0.0,4.0
LAUGHLIN RIVER LODGE EDR,LAUGHLIN RIVER LODGE,Restaurant,2700 S CASINO Dr,Laughlin,Nevada,89029,19,56.0,48.0
CLARION PORTABLE BAR,CLARION HOTEL & CASINO,Portable Bar,305 CONVENTION CENTER Dr,Las Vegas,Nevada,89109,8,0.0,14.0
Giant Food Center Restaurant - DELETED,Giant Food Center,Restaurant,4740 E Owens Ave,Las Vegas,Nevada,89110-1667,58,0.0,137.0
Tss Grill  DELETED 4 3 12,Aruba - Tss Grill,Restaurant,1215 Las Vegas Blvd,Las Vegas,Nevada,89104-1307,1,9.0,9.0
FRESH & EASY #1010 - BAKERY - deleted 1/4/16,FRESH & EASY #1010,Bakery Sales,8650 W Tropicana Ave,Las Vegas,Nevada,89147-8181,7,15.0,9.0
Martin Madrigal #1,"Madrigal, Martin",Farmer's Market,2930 N Las Vegas Blvd,North Las Vegas,Nevada,89030,3,6.0,9.0
HOOKAH MASTER'S LOUNGE,HOOKAH MASTER'S LOUNGE,Bar / Tavern,5900 W CHARLESTON Blvd 8,Las Vegas,Nevada,89146,14,0.0,29.0
LAS VEGAS SUPERSTORE RESTAURANT,Las Vegas Superstore,Restaurant,4801 W Spring Mountain Rd,Las Vegas,Nevada,89102-8709,4,8.0,8.0
SUBWAY #48739,SUBWAY #48739,Restaurant,240 N JONES 1005,Las Vegas,Nevada,89107,1,0.0,0.0
FRESH FRUIT SMOOTHIES,FRESH FRUIT SMOOTHIES,Restaurant,6620 W FLAMINGO Rd 9,Las Vegas,Nevada,89103,8,6.0,17.0
HELADOS Y PALETAS 'DE MICHOACAN' - Deleted 3.6.17 LR,HELADOS Y PALETAS 'DE MICHOACAN',Restaurant,6355 N COMMERCE,North Las Vegas,Nevada,89030,22,0.0,42.0
RIO WSOP 2013 PIANO BAR (5/2/13-1/2/14),Rio Suites Hotel,Portable Unit,3700 W Flamingo Rd,Las Vegas,Nevada,89103-4043,1,0.0,0.0
DTG NINTH ISLAND BAR,DOWNTOWN GRAND HOTEL & CASINO,Bar / Tavern,206 N 3RD St,Las Vegas,Nevada,89101,5,0.0,3.0
Mama Napoli Pizza,Mama Napoli Pizza,Food Trucks / Mobile Vendor,8256 Nice Ct,Las Vegas,Nevada,89129-7372,1,0.0,0.0
BROOKLYN BOWL FL 1 NORTH BAR & SUPPORT,BROOKLYN BOWL LAS VEGAS @ LINQ,Bar / Tavern,3545 S LAS VEGAS Blvd 22,Las Vegas,Nevada,89109,6,9.0,9.0
PARMEZAN SUBS,PARMEZAN SUBS,Restaurant,10720 S EASTERN Ave #100,Henderson,Nevada,89052,22,12.0,29.0
SAMURAI SAMS - RANCHO HIGH SCHOOL,SAMURAI SAMS - RANCHO HIGH SCHOOL,Caterer,1900 SEARLES Ave,Las Vegas,Nevada,89101,3,12.0,6.0
PHO THIEN HUONG & FOOD TO GO,PHO THIEN HUONG & FOOD TO GO,Restaurant,6850 SPRING MOUNTAIN Rd F06,Las Vegas,Nevada,89146,11,0.0,23.0
MAISON DE MAGGIE,MAISON DE MAGGIE,Restaurant,3455 S DURANGO 112,Las Vegas,Nevada,89117,3,6.0,3.0
RAINBOW KITCHEN SPECIAL KITCHEN,RAINBOW KITCHEN,Special Kitchen,7537 S RAINBOW,Las Vegas,Nevada,89139,3,3.0,3.0
Wolff Elementary School Kitchen,Wolff Elementary School,Elementary School Kitchen,1001 Seven Hills Dr,Henderson,Nevada,89052-3009,18,0.0,6.0
Grouchy John's Coffee Trailer,GROUCHY JOHN'S COFFEE TRAILER,Food Trucks / Mobile Vendor,8520 S MARYLAND 100,Las Vegas,Nevada,89123,3,16.0,8.0
"Tartan, John Elem School Kitchen","Tartan, John Elementary School",Elementary School Kitchen,3030 E Tropical Pkwy,North Las Vegas,Nevada,89081-6587,18,0.0,8.0
Buffet @ Asia Buffet,Buffet @ Asia,Buffet,4090 S Eastern Ave,Las Vegas,Nevada,89119-5103,26,45.0,88.0
