zip_code,violations,current_demerits,inspection_demerits,inspection_grade,rating,review_count,alcohol,ambience,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,caters,coat_check,corkage,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,good_for,has_pool_table,waiter_service
89106,22,56,44,A,4,21,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,-1,1,-1,0
89139,2,8,8,A,4.5,16,2,0,0,3,1,0,1,3,1,0,0,0,0,1,1,0,1,1,1,2,0,1,0,1,1,1,1,0,1,1,-1,0,-1,-1,-1,-1,-1
89102,102,66,235,A,4.5,493,0,1,1,3,1,0,1,1,1,0,0,0,0,0,1,3,1,0,1,1,0,1,0,1,1,1,0,1,1,-1,1,1,0,0,3,-1,-1
89147,63,78,133,A,4,40,1,1,0,3,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,3,1,1,1,1,1,0,-1,-1,-1,-1,-1
89118,25,17,53,A,3,227,2,0,1,3,1,0,1,3,1,1,0,0,0,1,1,2,1,1,1,2,0,1,0,0,1,2,1,1,1,1,1,0,0,0,-1,-1,-1
89118,9,24,27,A,3,29,0,0,0,3,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,-1,-1,-1,-1,-1
89120,67,129,136,A,3.5,99,0,1,1,3,0,0,1,1,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,1,1,0,0,1,-1,1,0,0,-1,2,-1,-1
89103,41,74,85,A,4.5,11,2,2,0,3,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,-1,-1,0,-1
89104,147,238,354,B,4,55,1,1,0,3,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,2,1,1,1,-1,1,0,-1,-1,-1,-1,-1
89104,31,62,57,A,4,25,2,1,0,3,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,-1,1,-1
89101,50,12,141,A,4.5,27,0,1,0,3,1,0,1,1,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,0,1,1,-1,0,-1,-1,2,-1,-1
89110,34,18,128,B,2,12,0,0,0,3,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,2,0,0,1,1,1,1,-1,-1,-1,-1,-1
89110,34,18,128,B,1.5,21,0,0,0,3,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,1,1,0,0,1,1,-1,1,1,-1,1,-1,-1
89145,29,60,92,B,3.5,21,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1,2,0,1,1,1,1,1,-1,-1,-1,-1,-1
89103,17,18,50,A,4,55,2,2,0,3,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,2,0,1,0,-1,0,1,0,-1,3,-1,-1
89121,3,7,7,A,4,4,0,0,0,3,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1
89147,6,30,15,A,3.5,8,0,0,0,3,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,-1,-1,-1,-1,-1
89128,79,8,155,A,3.5,31,0,1,0,3,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,-1,1,1,0,-1,-1,-1,-1
89119,44,62,74,A,4,84,2,2,1,3,1,0,1,1,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,1,1,0,1,1,1,-1,1,0,-1,3,1,-1
89117,69,27,152,A,3.5,537,1,1,1,3,1,0,1,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,2,1,1,1,-1,1,0,0,0,2,-1,1
89103,66,90,133,A,3,110,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,1,1,0,0,1,-1,1,0,0,-1,3,-1,-1
89118,72,126,131,A,3,214,2,1,1,3,0,0,1,1,1,0,0,0,0,0,0,3,1,1,1,1,0,0,0,1,1,2,1,1,1,-1,1,0,1,-1,3,-1,-1
89123,4,0,3,E,5,24,0,1,0,3,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,2,0,0,1,1,-1,1,1,-1,-1,-1,-1
89102,27,30,41,A,3.5,125,2,1,0,3,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,1,1,0,-1,1,1,1,0,0,0,-1,0,-1
89104,43,83,106,A,3.5,140,0,1,1,3,1,0,1,1,1,0,0,0,0,0,1,3,1,0,1,1,0,0,0,0,1,1,0,0,1,-1,1,0,1,1,3,-1,-1
89117,6,18,19,A,4.5,323,2,1,0,3,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,3,1,1,1,-1,1,0,-1,-1,-1,-1,-1
89102,9,9,22,A,4,219,0,1,1,3,1,0,1,2,1,0,0,1,0,0,1,3,1,0,1,1,0,1,0,0,0,2,1,1,1,-1,1,1,-1,-1,3,-1,-1
89130,108,85,230,A,3.5,87,0,1,0,3,1,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0,0,1,-1,1,0,-1,-1,2,-1,-1
89102,113,138,276,B,3,131,2,1,0,3,1,0,1,1,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,2,1,1,1,-1,0,0,1,-1,2,-1,-1
89113,69,104,139,B,3.5,174,1,1,1,3,0,0,1,1,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,1,2,0,1,1,-1,1,0,0,-1,2,-1,-1
89143,34,94,88,A,3,43,0,1,0,3,1,0,1,1,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,1,1,0,0,1,1,-1,0,0,-1,3,-1,-1
89118,30,27,71,A,4.5,22,2,1,0,2,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,1,1,1,-1,-1,-1,-1,0,-1
89109,132,117,313,B,2.5,6,1,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,-1,-1,-1,-1,-1
89115,59,63,110,A,3,38,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,-1,1,0,-1,-1,-1,-1,-1
89117,8,16,16,A,4.5,84,1,1,0,3,1,0,1,1,1,0,0,0,0,1,1,2,1,1,1,1,0,1,0,1,1,2,1,0,1,-1,1,1,-1,-1,-1,-1,-1
89117,89,128,161,A,3.5,166,0,1,1,3,0,0,1,1,1,0,0,0,0,0,1,2,1,0,1,1,0,0,0,1,1,2,0,0,1,-1,1,1,0,-1,2,-1,0
89115,23,75,50,B,5,5,2,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,-1,1,-1
89123,20,45,38,A,2,16,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,-1,0,-1,-1,-1,-1,-1
