violations,rating,drive_thru,good_for_kids,noise_level,restaurants_table_service,accepts_apple_pay,waiter_service,inspection_grade
53,4.0,-1,1,1,1,0,-1,A
55,4.0,0,1,1,0,0,-1,A
78,2.5,1,1,1,0,0,-1,A
33,3.0,0,1,1,0,0,-1,B
96,3.5,-1,1,1,1,-1,-1,B
57,3.5,-1,1,0,0,-1,-1,B
17,4.0,-1,1,1,0,-1,-1,A
56,3.5,-1,1,1,0,0,0,A
1,3.0,-1,1,1,-1,-1,-1,A
33,3.5,-1,-1,1,-1,0,-1,A
149,4.5,-1,1,1,1,0,1,B
28,4.0,-1,0,1,-1,-1,-1,B
7,4.0,-1,1,1,0,-1,-1,A
21,3.0,-1,1,0,-1,-1,-1,A
30,4.0,-1,1,1,1,-1,-1,B
50,3.5,-1,1,0,1,-1,-1,B
91,3.5,-1,1,0,1,-1,-1,B
38,3.0,-1,1,0,0,-1,-1,A
36,3.5,-1,1,1,1,0,1,A
34,4.5,-1,1,1,-1,0,-1,B
64,4.0,-1,1,1,1,-1,-1,B
10,3.5,-1,1,0,0,-1,-1,A
31,3.0,-1,1,0,1,0,1,A
40,4.0,-1,1,0,1,-1,-1,A
28,3.5,0,1,0,-1,-1,-1,A
112,4.0,-1,1,0,1,0,1,B
42,4.0,-1,1,1,0,0,-1,B
57,4.0,-1,1,1,1,-1,-1,B
34,3.0,-1,1,1,1,0,1,A
38,2.5,-1,1,1,0,-1,0,B
121,3.0,1,1,1,1,0,-1,B
62,2.5,1,1,1,0,0,-1,B
62,2.5,1,1,1,0,-1,-1,B
47,4.0,-1,1,1,1,0,1,B
48,4.0,0,1,0,1,1,1,A
103,1.5,-1,1,0,1,-1,-1,C
99,2.0,-1,1,0,1,-1,-1,B
94,2.0,0,0,1,0,-1,-1,B
107,3.5,-1,1,1,0,0,0,B
4,3.0,-1,1,1,0,-1,-1,A
32,2.5,1,1,1,0,-1,0,A
32,2.5,1,1,3,0,-1,-1,A
90,3.0,-1,1,1,1,0,1,A
42,4.5,-1,1,1,0,1,-1,A
78,4.0,-1,1,0,1,-1,-1,A
67,4.0,0,1,1,1,0,-1,B
85,3.0,0,1,1,0,0,-1,A
85,3.5,0,1,1,0,0,0,A
119,3.5,-1,1,1,1,0,1,B
47,4.5,-1,1,1,1,0,1,A
138,4.0,-1,1,0,1,0,1,A
2,1.5,1,1,3,0,1,-1,A
64,3.5,-1,1,1,-1,-1,-1,A
56,3.0,-1,-1,1,-1,-1,-1,A
76,4.0,0,1,1,1,0,-1,B
65,2.5,0,1,2,0,0,0,A
63,3.0,-1,1,1,1,0,1,A
43,3.5,-1,1,1,0,0,0,A
17,4.5,-1,1,1,-1,0,-1,A
96,3.0,0,1,1,0,0,-1,A
