name,location_name,category_name,address,city,state,zip_code,violations,current_demerits,inspection_demerits,current_score,inspection_score,current_grade,inspection_grade,business_id,neighborhood,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,gender_neutral_restrooms,good_for,good_for_working,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
Sambalatte Torrefazione,Sambalatte Torrefazione,Restaurant,750 S Rampart Blvd STE9,Las Vegas,Nevada,89145,41,6,94,95,93.18181818,A,A,rq5dgoksPHkJwJNQKlGQ7w,Westside,4,832,Null,Null,0,2,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,1,No,Null,Null,"Breakfast, Dessert",Yes,Null,Null,Null,Yes,Null,No
Luna Rossa,Luna Rossa,Restaurant,450 Fremont St,Las Vegas,Nevada,89101,19,24,44,95,88.33333333,A,B,FvC3W9E6rXUYx-cTxbnUiA,Downtown,3,33,Null,Null,2,1,Null,Null,Null,Yes,Null,1,1,Null,Yes,0,Null,Null,Null,Null,0,1,0,Null,Null,1,Null,1,Null,1,0,Null,No,1,2,1,1,1,2,1,Free,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Pastry Palace,Pastry Palace,Snack Bar,4523 W Sahara Ave,Las Vegas,Nevada,89102,33,33,72,95,95,A,A,87YsVbCN_kfzheY79Fzjkg,Westside,4,209,Null,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,1,Null,2,Null,Null,1,Null,1,Free,Yes,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null
Corner Thai Kitchen,Corner Thai Kitchen,Restaurant,9575 W Tropicana Ave 1,Las Vegas,Nevada,89147,59,0,152,95,90.625,A,A,qKn9nynsVYIST8rf6tEFRQ,Spring Valley,4,150,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,0,Null,0,0,Null,1,1,2,0,1,1,Null,1,0,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null
Tofu Hut,Tofu Hut,Restaurant,3920 Spring Mountain Rd,Las Vegas,Nevada,89102,120,106,253,95,89.5,A,B,0w3BdEOxvwKTpypwbN5kiQ,Chinatown,3.5,669,Null,Null,1,1,0,1,Null,0,Null,1,1,Null,0,Null,0,Null,Null,Null,Null,1,3,Null,Null,1,Null,1,Null,0,0,Null,0,1,2,0,1,0,Null,1,0,No,No,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Yes,Null,Yes
Marco's Pizza,Marcos Pizza,Restaurant,8795 W Warm Springs Rd,Las Vegas,Nevada,89148,40,51,58,95,95,A,A,hrNIDao4XnOhrv7aaFehTg,Southwest,3.5,163,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,1,0,2,0,0,1,Null,1,0,Yes,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null
Fuzziwig's Candy Factory,FUZZIWIGS CANDY LV PREMIUM OUTLETFuzziwigs Candy L,Confection,775 S Grand Central Pkwy,Las Vegas,Nevada,89106,23,45,53,95,91,A,A,nV2EI2KtETq3eLUZsK3NSQ,Downtown,3.5,5,Null,Null,Full Bar,Null,Null,Null,Null,Null,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Yes,Null,Average,Null,No,Casual,Null,No,Yes,2,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Nu Sanctuary Lounge,Nu Sanctuary Lounge,Bar / Tavern,6605 Las Vegas Blvd,Las Vegas,Nevada,89119,7,20,34,95,92.5,A,A,stbX9rtRIpDF-VymOwHJ8w,Southeast,2.5,69,Null,Null,2,1,Null,Null,3,Yes,Null,1,3,Null,No,0,Null,Null,Null,Null,1,0,1,Null,1,1,2,1,Null,1,0,Null,0,1,3,1,1,1,1,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Sun's Beef Jerky,Sun's Beef Jerky,Concessions,1300 W SUNSET St,Las Vegas,Nevada,89104,1,0,0,95,95,A,A,Ve_qB9oxIbJfd-v7MImBlQ,Downtown,5,4,Null,Null,Full Bar,"Divey, Casual",Null,Null,Null,No,Null,1,0,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Yes,Null,Quiet,Null,No,Casual,Null,Yes,Yes,1,No,Null,Yes,Null,Null,No,No,Null,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes
Popped,Popped,Restaurant,9480 S Eastern Ave,Las Vegas,Nevada,89123,4,9,7,95,95,A,A,OGQ_6nIn4QQL2U6t0XeHtA,Null,4.5,205,Null,Null,0,Null,Null,Null,Null,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,No,0,Null,Null,Yes,Null,Average,Null,No,Casual,Null,0,Yes,1,No,Null,1,Null,1,Free,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null
Samurai Sam's,Samurai Sam's,Restaurant,4175 S Grand Canyon Dr 103,Las Vegas,Nevada,89147,57,84,124,95,92.5,A,A,iIwMJdDuExGrOqkSAyPb9A,Spring Valley,3,99,Null,Null,0,1,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,Yes,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null
Island Breeze,Island Sushi & Grill,Food Trucks / Mobile Vendor,9400 S Eastern Ave 103,Las Vegas,Nevada,89123,2,0,1,95,95,A,A,PB7Fc2yCSjrELsrBJWKCSA,Southeast,4,19,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,0,Null,1,0,Null,0,1,1,0,0,1,Null,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Dunkin' Donuts,FIRST CUP LV CHARLESTON & DESERT FOOTHILLS LLC,Restaurant,11710 W Charleston Blvd,Las Vegas,Nevada,89135,45,47,85,95,93.33333333,A,A,1i9T1uoG_J3aRfprALvNGQ,Summerlin,3,100,Null,Null,0,Null,Null,Null,Null,1,No,1,1,0,0,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,0,Null,1,Null,Null,1,Null,1,1,Yes,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null
Jersey Mike's Subs,JERSEY MIKE'S SUBS,Restaurant,8780 W Charleston Blvd 102,Las Vegas,Nevada,89117,28,40,51,95,95,A,A,Oqqnw0Rz77sMDPHS_eN2aA,Westside,4,85,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,0,Null,1,1,Null,Null,1,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,Yes,0,Yes,Yes,Yes,Lunch,Null,Null,Null,Null,Null,Null,Null
Beach Cafe,Beach Cafe,Restaurant,7750 S Jones Blvd 101,Las Vegas,Nevada,89139,55,36,105,95,90.83333333,A,A,atVh8viqTj-sqDJ35tAYVg,Southwest,3.5,280,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,0,Null,1,3,Null,Null,1,Null,1,Null,1,0,Null,1,1,1,0,1,1,Null,1,1,No,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Null,Yes,Yes,Null,Null
Rocky Mountain Chocolate Factory,Rocky Mtn Choc Po @ ORLEANS CASINO,Confection,4500 W Tropicana Ave,Las Vegas,Nevada,89103,35,108,80,95,84.58333333,A,B,0K4tCSMV6BqFxOsgZFqfVw,Null,3.5,22,Null,Null,No,Null,Null,Null,Null,0,Null,1,2,Null,0,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,No,Casual,Null,Yes,No,2,No,Null,1,Null,1,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Double Yoke,DOUBLE YOKE,Restaurant,6050 Sky Pointe Dr,Las Vegas,Nevada,89130,21,0,24,95,92.5,A,A,x_L9NCBxx4Mb4cOnnRMibw,Centennial,4,12,Null,Null,2,0,Null,Null,Null,Yes,Null,1,Private Lot,Null,No,Null,Null,Null,Null,Null,Null,1,0,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,1,1,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Port of Subs,Port of Subs,Restaurant,949 S Rainbow Blvd 3C,Las Vegas,Nevada,89145,52,134,129,95,92.33333333,A,A,Lt_ytMJKMQ3lpBDYaANreA,Westside,3,42,Null,Null,0,1,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,Null,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null
El Taco Feliz,El Taco Feliz,Restaurant,4755 W Flamingo Rd E,Las Vegas,Nevada,89103,53,42,121,95,91.66666667,A,A,CLthP1yn32xlBswIbsLIjQ,Null,3.5,96,Null,Null,2,1,0,1,Null,0,Null,1,1,Null,1,Null,0,Null,Null,Null,Null,1,3,Null,Null,1,Null,0,Null,0,0,Null,1,1,1,0,0,1,Null,1,0,Null,Null,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,Null
Cariba Charlie's,Cariba Charlie's,Restaurant,4835 S Rainbow Blvd 204,Las Vegas,Nevada,89103,42,3,68,95,94.09090909,A,A,vATbGMxLd9cZ3VY_GZAIJw,Spring Valley,3.5,10,Null,Null,2,0,Null,Null,Null,1,Null,1,1,Null,Yes,Null,Null,Null,Null,Null,Null,0,0,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,Null,Yes,Null,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Master Donuts,Master Donuts,Restaurant,2300 E Desert Inn Rd,Las Vegas,Nevada,89169,51,60,89,95,92.5,A,A,qjyOjCHG9lOkZnAa8jIQ1g,Eastside,4.5,86,Null,Null,Full Bar,Casual,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,Yes,Null,Null,No,Yes,Null,Average,Null,No,Casual,Null,No,Yes,1,Yes,Null,1,Null,1,Free,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null
Hawaiian Style Poke,CTR@SPR MTN-Hawaiian Style Poke,Restaurant,3524 Wynn Rd,Las Vegas,Nevada,89103,34,36,89,95,92.5,A,A,pi4FLFEOn9AhNUxiLbBeHg,Chinatown,4,202,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,No,Null,Null,1,1,Null,Null,0,Null,0,Null,1,0,Null,0,0,2,1,0,1,Null,1,0,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null
CREAM,CREAM INC @ SHOPS AT SUMMERLIN,Restaurant,1980 FESTIVAL PLAZA,Las Vegas,Nevada,89135,7,21,15,95,95,A,A,Ed47ZME7NcLTZeIBUYsdog,South Summerlin,3.5,320,Null,Null,0,Casual,Null,Null,Null,1,0,1,1,0,No,Null,Null,Null,0,Null,Null,Yes,0,Null,Null,No,Null,Average,Null,No,Casual,Null,0,No,1,No,Null,1,Null,1,1,No,No,Null,Null,Null,Yes,Null,Yes,Yes,Null,Null
See's Candies,See's Candies,Confection,10300 W Charleston Blvd,Las Vegas,Nevada,89135,23,6,20,95,95,A,A,0jriM09IvPdCLgr509vbrQ,Summerlin,4.5,32,Null,Null,Beer & Wine Only,Null,Null,Null,Null,1,No,1,1,Null,0,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Yes,Null,Average,Null,No,Casual,Null,No,Yes,2,No,Null,1,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Chopstix Express,Chopstix Express LLC,Restaurant,2625 S Decatur Blvd,Las Vegas,Nevada,89102,83,153,192,95,91,A,A,xmeEyBVC5zN-FCX5qZviIQ,Westside,3,71,Null,Null,0,1,Null,Null,Null,0,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,0,Null,1,0,Null,1,1,1,0,0,1,Null,1,0,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Milano's Pizza Di Roma,Milano's Pizza Di Roma,Restaurant,2916 Lake East Dr,Las Vegas,Nevada,89117,7,32,24,85,90,B,A,APkr8bzYE0xiePqmAqPzYg,The Lakes,2,9,Null,Null,0,Casual,Null,Null,Null,Yes,Null,Yes,0,Null,0,Null,Null,Null,No,Null,Null,1,0,Null,Null,Yes,Null,Average,Null,0,0,Null,1,0,2,0,0,1,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
La Playita Restaurant,La Playita Restaurant,Restaurant,2238 N Pecos Rd,Las Vegas,Nevada,89115,54,96,120,95,91.66666667,A,A,JXWDWoW4dDGcbaU2BQq8Og,Null,4.5,26,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,No,Null,Null,1,1,Null,Null,1,Null,1,Null,0,0,Null,0,1,2,Yes,1,1,Null,1,0,Yes,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null
Pho Rose,Pho Rose,Restaurant,1750 N Buffalo Dr 107,Las Vegas,Nevada,89128,90,142,228,95,85.71428571,A,B,l4qomOr-2ZDOjWXSZXpzZg,Null,3.5,111,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,0,Null,0,0,Null,0,1,1,0,1,1,Null,Null,0,Null,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes
Alexander's Pizza,Alexander's Pizza,Restaurant,5020 Broadbent Blvd #4,Las Vegas,Nevada,89122,58,117,119,95,92.69230769,A,A,4aAf2nAr86lcDHzqWSaYuQ,Southeast,3.5,93,Null,Null,0,1,Null,Null,Null,0,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,1,Null,0,0,Null,1,0,2,0,0,1,Null,0,0,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Patisserie Manon,Patisserie Manon,Restaurant,8751 W Charleston Blvd 110,Las Vegas,Nevada,89117,55,82,144,95,91.92307692,A,A,A0X1baHPgw9IiBRivu0G9g,Westside,4,688,Null,Null,0,1,Null,Null,Null,1,Null,1,1,0,1,Null,Null,Null,0,Null,Null,1,3,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,1,0,1,Null,1,1,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null
Pho Saigon 8,Pho Saigon 8,Restaurant,5650 Spring Mountain Rd,Las Vegas,Nevada,89146,103,6,256,95,83.33333333,A,B,M30I1NPl5JuHthxo1IXPGg,Chinatown,3.5,503,Null,Null,2,1,0,1,Null,1,Null,1,1,Null,0,Null,0,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,1,1,1,Null,0,0,No,Yes,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Yes
Crown Bakery,Crown Bakery,Snack Bar,4355 Spring Mountain Rd,Las Vegas,Nevada,89102,30,245,94,75,89.28571429,C,B,bcJmbFHVAkLFqhJbUTdbyQ,Chinatown,4,342,Null,Null,Full Bar,Romantic,Null,Null,Null,1,No,1,1,0,1,Null,Null,Null,Null,Null,Null,Yes,0,Null,Null,Yes,Null,Average,Null,0,Casual,Null,0,Yes,1,Yes,Null,1,Null,1,1,Yes,No,Null,Null,Yes,Null,Null,Null,Yes,Null,Null
Monta Ramen,Monta Ramen,Restaurant,5030 Spring Mountain Rd 6&7,Las Vegas,Nevada,89146,98,60,231,95,86.9047619,A,B,UPIYuRaZvknINOd1w8kqRQ,Chinatown,4,2499,Null,Null,1,1,Null,Null,Null,0,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,0,0,1,0,1,1,Null,1,0,No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null
El Cordobes,El Cordobes,Restaurant,5020 E Tropicana Ave,Las Vegas,Nevada,89122,55,99,100,95,92.27272727,A,A,ifkCEpYaSAUT3WVQNxwvXA,Eastside,4.5,22,Null,Null,1,0,Null,Null,Null,0,0,0,1,Null,1,Null,Null,Null,0,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,1,1,Null,1,0,No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null
China Kitchen,CHINA KITCHEN,Restaurant,4985 E CRAIG Rd,Las Vegas,Nevada,89115,76,132,147,94.41176471,92.05882353,A,A,9iNZ2o5jt-zpdMoAOgd7_g,Null,3.5,24,Null,Null,0,1,Null,Null,Null,1,Null,1,0,Null,Yes,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,1,Null,0,0,Null,1,1,1,0,1,1,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Market Grille Cafe,Market Grille Cafe,Restaurant,7070 N Durango Dr,Las Vegas,Nevada,89149,33,0,39,95,94.09090909,A,A,qRymrsLmlA34bC8PvNoujg,Centennial,4,526,Null,Null,1,1,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,1,0,Null,0,1,2,1,1,1,Null,1,0,No,No,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes
Pho 87,Pho 87,Restaurant,3620 S Jones Blvd,Las Vegas,Nevada,89103,93,338,199,77.5,88.75,C,B,m51uL1LZhKYf2y_yG4NEng,Chinatown,3.5,320,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,0,Null,Null,1,2,Null,Null,1,Null,0,Null,0,0,Null,0,1,2,0,1,1,Null,1,1,No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null
China One,China One,Restaurant,921 S Rainbow Blvd,Las Vegas,Nevada,89145,117,128,267,95,89.54545455,A,B,rx1AEnleVRWMNz6vB-YhfQ,Westside,3.5,115,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,1,1,1,0,1,1,Null,Null,0,No,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null
Sweet Tomatoes,Sweet Tomatoes,Restaurant,9460 W Flamingo Rd,Las Vegas,Nevada,89147,61,113,112,95,91.92307692,A,A,mmbXj7CmjGbH-wR3j6cD0w,Spring Valley,3.5,314,Null,Null,0,1,Null,Null,Null,1,No,1,1,Null,0,Null,Null,Null,No,Null,Null,1,2,Null,Yes,0,Null,1,Null,1,0,Null,0,1,2,0,0,1,Null,1,0,No,No,Null,"Lunch, Dinner",Null,Yes,Null,Yes,Yes,Null,No
Baidu China Bistro,Baidu China Bistro,Restaurant,7625 S Rainbow Blvd,Las Vegas,Nevada,89139,13,10,24,95,90,A,A,9V9RlgqqnPFQJfF_e9Lnmw,Southwest,3.5,150,Null,Null,1,1,Null,Null,Null,1,No,0,1,Null,1,Null,Null,1,Null,Null,Yes,1,2,Null,Null,1,Null,0,Null,0,0,Null,1,1,1,0,1,1,Null,1,0,No,No,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null
Casa Di Amore,Casa Di Amore,Restaurant,2850 E Tropicana Ave,Las Vegas,Nevada,89121,65,115,166,95,90.38461538,A,A,So132GP_uy3XbGs0KNyzyw,Eastside,4.5,765,Null,Null,2,1,Null,Null,Null,1,0,1,1,Null,0,Null,Null,Null,0,Null,Null,1,1,Null,Null,1,Null,1,Null,1,0,1,0,1,2,1,1,1,Null,1,1,No,No,Null,Dinner,Null,Null,Null,Null,Yes,Null,Yes
Qdoba Mexican Grill,Qdoba Mexican Grill,Restaurant,6010 W Craig Rd,Las Vegas,Nevada,89130,9,40,34,95,93,A,A,Ufa7MJ3yDDIMFkYctnhT8Q,Northwest,3,7,Null,Null,Null,Null,Null,Null,Null,Yes,No,1,1,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Yes,Null,Null,Free,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Saxby's Coffee,Saxby's Coffee,Restaurant,8520 S Maryland Pkwy,Las Vegas,Nevada,89123,5,9,11,95,95,A,A,IeJWawvw4oAb9EjAP-W5hA,Southeast,4.5,16,Null,Null,Full Bar,Casual,Null,Null,Null,Yes,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,No,Null,Very Loud,Null,1,Null,Null,Null,Yes,1,No,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Capriotti's Sandwich Shop,Capriotti's Sandwich Shop,Restaurant,8450 W Sahara Ave 116,Las Vegas,Nevada,89117,31,33,64,95,87,A,B,7UtqNjjd9D6oU7UcT2nxig,Westside,3.5,92,Null,Null,0,1,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,1,1,1,0,0,1,Null,0,0,No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null
Tacos El Compita,Tacos El Compita,Restaurant,6118 W Charleston Blvd,Las Vegas,Nevada,89146,89,167,254,95,86.05263158,A,B,CVECSCW-7zDzjpIPxsew4g,Westside,4.5,132,Null,Null,0,1,Null,Null,Null,0,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,1,0,No,No,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null
Johnny Rockets,Johnny Rockets @ SILVERTON,Restaurant,3333 Blue Diamond Rd,Las Vegas,Nevada,89139,43,75,110,95,92.5,A,A,N0l-6kdgRXEskiGw3ab05A,Southwest,3,70,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,0,Null,1,2,Null,Null,0,Null,2,Null,0,0,Null,0,1,2,0,1,1,Null,1,0,No,No,Null,"Lunch, Dinner, Dessert",Null,Null,Null,Null,Null,Null,Null
Vega's Cafe,Vega's Cafe,Restaurant,7280 W Azure Dr,Las Vegas,Nevada,89130,3,6,6,95,95,A,A,q7iF6omNtpaeBXZscLuBxQ,Centennial,4,11,Null,Null,1,Casual,Null,Null,Null,Null,Null,1,1,Null,No,Null,Null,Null,Null,Null,Null,1,2,Null,Null,Yes,Null,Average,Null,0,0,Null,0,1,2,0,1,1,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Island Sushi & Grill,Island Sushi & Grill,Restaurant,9400 S Eastern Ave 103,Las Vegas,Nevada,89123,73,128,186,95,91.25,A,A,DzKl51tivGJMLiNsQqf38w,Southeast,4,957,Null,Null,1,1,Null,Null,Null,1,0,1,2,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,0,0,0,Null,1,1,2,1,1,1,Null,1,1,No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null
Las Vegas Eagle,Las Vegas Eagle,Bar / Tavern,3430 E Tropicana Ave,Las Vegas,Nevada,89121,70,130,158,95,88.84615385,A,B,5eqm4pyz-egd255X7PB8Xg,Eastside,2.5,24,Null,Null,2,1,Null,Null,3,0,0,1,1,Null,Null,0,Null,Null,Null,Null,1,Yes,Null,Null,1,1,1,1,Null,0,Null,Null,Yes,1,1,0,Null,Yes,1,1,1,No,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null
Rincon Catracho,Rincon Catracho,Restaurant,4110 S Maryland Pkwy,Las Vegas,Nevada,89119,45,243,191,75,75,C,C,1M1A-s6BbnzK3eURw01rZQ,University,3.5,65,Null,Null,2,1,Null,Null,Null,1,Null,1,1,Null,Yes,Null,Null,Null,Null,Null,Null,1,3,Null,Null,1,Null,2,Null,0,0,Null,0,1,1,0,1,1,Null,1,0,No,Null,Yes,"Breakfast, Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null
Smoothie King,Smoothie King,Restaurant,6530 N Buffalo Dr 150,Las Vegas,Nevada,89131,35,91,85,95,92.5,A,A,rVi34tu0bITsoxMMT9QhUw,Centennial,2.5,81,Null,Null,Null,Null,Null,Null,Null,1,0,1,1,Null,1,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Yes,Null,2,Null,Null,1,Null,1,1,No,No,Null,Null,Null,Null,Null,Yes,Yes,Yes,Null
Don't Tell Mama,Don't Tell Mama,Bar / Tavern,517 Fremont St,Las Vegas,Nevada,89101,50,38,114,95,91.66666667,A,A,zKqWjDZHo-lk7_E3hHkORg,Downtown,4,212,Null,Null,2,1,Null,Null,3,1,Null,1,1,Null,No,0,Null,Null,Null,Null,0,Yes,Null,Null,1,0,1,3,Null,0,Casual,Null,Yes,1,2,0,Null,Yes,1,1,0,No,Null,Null,Null,Null,Null,No,Null,Null,Null,Null
Rocket Fizz,Rocket Fizz,Confection,9410 W Sahara 120,Las Vegas,Nevada,89117,7,0,0,95,95,A,A,jozzH4XCEM9yQFjLAc3_zA,Westside,4.5,157,Null,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,0,Null,1,Null,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uncle Joe's Pizza,Uncle Joes Pizza,Restaurant,505 Fremont St,Las Vegas,Nevada,89101,45,30,146,95,80,A,B,jgtEoeE2uoA27J_UvbE20g,Downtown,4,110,Null,Null,0,1,Null,Null,Null,0,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,3,Null,Null,1,Null,1,Null,0,0,Null,1,1,1,0,0,1,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Port of Subs,Port of Subs,Restaurant,3117 N Rainbow Blvd,Las Vegas,Nevada,89108,64,171,153,95,92.36842105,A,A,YnYS1dISBoLpA_VUSjOzEQ,Null,3,31,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,0,Null,Null,0,Null,3,Null,0,0,Null,0,1,1,0,0,1,Null,Yes,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Donut Tyme,Donut Tyme,Restaurant,4268 E Charleston Blvd,Las Vegas,Nevada,89104,58,45,122,95,93,A,A,PJ-VbAtIOso1dqd2frQqqg,Sunrise,4,88,Null,Null,Null,Null,Null,Null,Null,0,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1,Null,1,Null,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null
